,precision,recall,f1-score,support
negative,0.7363451086956522,0.6698597120079105,0.701530694799521,16181.0
neutral,0.5025092004014721,0.17701826753093694,0.26180930800069724,8485.0
positive,0.8973765914442291,0.9675035102499298,0.9311215251314815,89025.0
accuracy,0.8661459570238629,0.8661459570238629,0.8661459570238629,0.8661459570238629
macro avg,0.7120769668471177,0.6047938299295924,0.6314871759772333,113691.0
weighted avg,0.84498809776089,0.8661459570238629,0.8484929671281553,113691.0
